time;V(Net-_R1-Pad1_);V(Vcmp);
4.93883e-07;3.61825;1.7795;
4.93888e-07;3.63875;1.77565;
4.93893e-07;3.65925;1.77177;
4.93898e-07;3.67975;1.76787;
4.93903e-07;3.70025;1.76394;
4.93908e-07;3.72075;1.75999;
4.93913e-07;3.74125;1.75602;
4.93918e-07;3.76175;1.75202;
4.93923e-07;3.78225;1.748;
4.93928e-07;3.80275;1.74396;
4.93933e-07;3.82325;1.73989;
4.93938e-07;3.84375;1.7358;
4.93943e-07;3.86425;1.73169;
4.93948e-07;3.88475;1.72756;
4.93953e-07;3.90525;1.72341;
4.93958e-07;3.92575;1.71924;
4.93963e-07;3.94625;1.71504;
4.93968e-07;3.96675;1.71083;
4.93973e-07;3.98725;1.7066;
4.93978e-07;4.00775;1.70235;
4.93983e-07;4.02825;1.69808;
4.93988e-07;4.04875;1.69379;
4.93993e-07;4.06925;1.68949;
4.93998e-07;4.08975;1.68516;
4.94e-07;4.1;1.683;
4.94001e-07;4.1;1.68256;
4.94002e-07;4.1;1.68169;
4.94004e-07;4.1;1.67995;
4.94008e-07;4.1;1.67646;
4.94013e-07;4.1;1.67208;
4.94018e-07;4.1;1.66768;
4.94023e-07;4.1;1.66326;
4.94028e-07;4.1;1.65882;
4.94033e-07;4.1;1.65436;
4.94038e-07;4.1;1.64988;
4.94043e-07;4.1;1.64539;
4.94048e-07;4.1;1.64087;
4.94053e-07;4.1;1.63634;
4.94058e-07;4.1;1.6318;
4.94063e-07;4.1;1.62723;
4.94068e-07;4.1;1.62265;
4.94073e-07;4.1;1.61806;
4.94078e-07;4.1;1.61345;
4.94083e-07;4.1;1.60882;
4.94088e-07;4.1;1.60418;
4.94093e-07;4.1;1.59953;
4.94098e-07;4.1;1.59486;
4.94103e-07;4.1;1.59018;
4.94108e-07;4.1;1.58549;
4.94113e-07;4.1;1.58078;
4.94118e-07;4.1;1.57606;
4.94123e-07;4.1;1.57134;
4.94128e-07;4.1;1.5666;
4.94133e-07;4.1;1.56185;
4.94138e-07;4.1;1.55709;
4.94143e-07;4.1;1.55231;
4.94148e-07;4.1;1.54753;
4.94153e-07;4.1;1.54275;
4.94158e-07;4.1;1.53795;
4.94163e-07;4.1;1.53314;
4.94168e-07;4.1;1.52833;
4.94173e-07;4.1;1.52351;
4.94178e-07;4.1;1.51868;
4.94183e-07;4.1;1.51385;
4.94188e-07;4.1;1.509;
4.94193e-07;4.1;1.50416;
4.94198e-07;4.1;1.49931;
4.94203e-07;4.1;1.49445;
4.94208e-07;4.1;1.48959;
4.94213e-07;4.1;1.48472;
4.94218e-07;4.1;1.47985;
4.94223e-07;4.1;1.47498;
4.94228e-07;4.1;1.4701;
4.94233e-07;4.1;1.46522;
4.94238e-07;4.1;1.46034;
4.94243e-07;4.1;1.45546;
4.94248e-07;4.1;1.45058;
4.94253e-07;4.1;1.44569;
4.94258e-07;4.1;1.4408;
4.94263e-07;4.1;1.43592;
4.94268e-07;4.1;1.43103;
4.94273e-07;4.1;1.42614;
4.94278e-07;4.1;1.42126;
4.94283e-07;4.1;1.41638;
4.94288e-07;4.1;1.41149;
4.94293e-07;4.1;1.40661;
